Kriteria,Bobot
Infrastruktur Jaringan,0.4170525991897297
Sistem Informasi Kampus,0.2475889616346718
Keamanan Data dan Privasi,0.06164002803466726
Sumber Daya TI,0.09786970717448162
Pengembangan Kompetensi TI,0.17584870396644958
